id,intervention,arg_id,cq,postedition,label,old_labeling
TRUMP_13,"Secretary Clinton and others , politicians , should have been doing this for years , not right now
we 've created a movement
They should have been doing this for years
What 's happened to our jobs and our country and our economy generally is—look , we owe $ 20 trillion
We can not do it any longer , Lester",233246_233241,"Is there a proven relation between 'we've created a movement' and 'Clinton and others, politicians, should have been doing this for years'?","Is there a proven relation between 'we've created a movement' and 'Clinton and others, politicians, should have been doing this for years'?",wierd,1
TRUMP_13,"Secretary Clinton and others , politicians , should have been doing this for years , not right now
we 've created a movement
They should have been doing this for years
What 's happened to our jobs and our country and our economy generally is—look , we owe $ 20 trillion
We can not do it any longer , Lester",233246_233241,"Are there any events other than "Clinton and other politicians should have been doing this for years" that would more reliably account for why we've created a movement?","Are there any events other than "Clinton and other politicians should have been doing this for years" that would more reliably account for why we've created a movement?",wierd,1
TRUMP_15,"the first thing you do is do n't let the jobs leave
The companies are leaving
I could name
there are thousands of them
They 're leaving
they 're leaving in bigger numbers than ever
good luck
We wish you a lot of luck
if you think you 're going to make your air conditioners or your cars or your cookies or whatever you make and bring them into our country without a tax , you 're wrong
once you say you 're going to have to tax them coming in
the special interests want those companies to leave
 in many cases , they own the companies
our politicians never do this
they have special interests
what I 'm saying is , we can stop them from leaving
that 's a big , big factor",233291_233286,What evidence is there that our politicians have special interests? Could our politicians have taken evidence on many sides even if our politicians had special interests?,What evidence is there that our politicians have special interests? Could our politicians have taken evidence on many sides even if our politicians had special interests?,none,1
TRUMP_15,"the first thing you do is do n't let the jobs leave
The companies are leaving
I could name
there are thousands of them
They 're leaving
they 're leaving in bigger numbers than ever
good luck
We wish you a lot of luck
if you think you 're going to make your air conditioners or your cars or your cookies or whatever you make and bring them into our country without a tax , you 're wrong
once you say you 're going to have to tax them coming in
the special interests want those companies to leave
 in many cases , they own the companies
our politicians never do this
they have special interests
what I 'm saying is , we can stop them from leaving
that 's a big , big factor",233291_233286,Does the matter of not taxing the companies coming to the US require our politicians to take evidence on many sides?,Does the matter of not taxing the companies coming to the US require our politicians to take evidence on many sides?,none,1
TRUMP_15,"the first thing you do is do n't let the jobs leave
The companies are leaving
I could name
there are thousands of them
They 're leaving
they 're leaving in bigger numbers than ever
good luck
We wish you a lot of luck
if you think you 're going to make your air conditioners or your cars or your cookies or whatever you make and bring them into our country without a tax , you 're wrong
once you say you 're going to have to tax them coming in
the special interests want those companies to leave
 in many cases , they own the companies
our politicians never do this
they have special interests
what I 'm saying is , we can stop them from leaving
that 's a big , big factor",233291_233286,Is job leave bad? Why and to whom is it bad?,Is job leave bad? Why and to whom is it bad?,none,1
TRUMP_15,"the first thing you do is do n't let the jobs leave
The companies are leaving
I could name
there are thousands of them
They 're leaving
they 're leaving in bigger numbers than ever
good luck
We wish you a lot of luck
if you think you 're going to make your air conditioners or your cars or your cookies or whatever you make and bring them into our country without a tax , you 're wrong
once you say you 're going to have to tax them coming in
the special interests want those companies to leave
 in many cases , they own the companies
our politicians never do this
they have special interests
what I 'm saying is , we can stop them from leaving
that 's a big , big factor",233291_233286,Is not letting jobs leave a way to prevent jobs from leaving?,Is not letting jobs leave a way to prevent jobs from leaving?,none,1
TRUMP_15,"the first thing you do is do n't let the jobs leave
The companies are leaving
I could name
there are thousands of them
They 're leaving
they 're leaving in bigger numbers than ever
good luck
We wish you a lot of luck
if you think you 're going to make your air conditioners or your cars or your cookies or whatever you make and bring them into our country without a tax , you 're wrong
once you say you 're going to have to tax them coming in
the special interests want those companies to leave
 in many cases , they own the companies
our politicians never do this
they have special interests
what I 'm saying is , we can stop them from leaving
that 's a big , big factor",233347_233343,Is it practically possible for not to let jobs leave to happen?,Is it practically possible for not to let jobs leave to happen?,none,1
TRUMP_15,"the first thing you do is do n't let the jobs leave
The companies are leaving
I could name
there are thousands of them
They 're leaving
they 're leaving in bigger numbers than ever
good luck
We wish you a lot of luck
if you think you 're going to make your air conditioners or your cars or your cookies or whatever you make and bring them into our country without a tax , you 're wrong
once you say you 're going to have to tax them coming in
the special interests want those companies to leave
 in many cases , they own the companies
our politicians never do this
they have special interests
what I 'm saying is , we can stop them from leaving
that 's a big , big factor",233347_233343,Are there other consequences from not letting jobs leave?,Are there other consequences from not letting jobs leave?,none,1
TRUMP_15,"the first thing you do is do n't let the jobs leave
The companies are leaving
I could name
there are thousands of them
They 're leaving
they 're leaving in bigger numbers than ever
good luck
We wish you a lot of luck
if you think you 're going to make your air conditioners or your cars or your cookies or whatever you make and bring them into our country without a tax , you 're wrong
once you say you 're going to have to tax them coming in
the special interests want those companies to leave
 in many cases , they own the companies
our politicians never do this
they have special interests
what I 'm saying is , we can stop them from leaving
that 's a big , big factor",233357_233352,What evidence is there that our politicians have special interests? Could our politicians have taken evidence on many sides even if our politicians had special interests?,What evidence is there that our politicians have special interests? Could our politicians have taken evidence on many sides even if our politicians had special interests?,none,1
TRUMP_15,"the first thing you do is do n't let the jobs leave
The companies are leaving
I could name
there are thousands of them
They 're leaving
they 're leaving in bigger numbers than ever
good luck
We wish you a lot of luck
if you think you 're going to make your air conditioners or your cars or your cookies or whatever you make and bring them into our country without a tax , you 're wrong
once you say you 're going to have to tax them coming in
the special interests want those companies to leave
 in many cases , they own the companies
our politicians never do this
they have special interests
what I 'm saying is , we can stop them from leaving
that 's a big , big factor",233357_233352,Does the matter of not taxing the companies coming to the US require our politicians to take evidence on many sides?,Does the matter of not taxing the companies coming to the US require our politicians to take evidence on many sides?,none,1
