arg_id,scheme,llm_cq_id,premises,thoery_cq,llm_cq,same?,type
TRUMP_15_2,Argument from Bias,TRUMP_15_8,"
our politicians have special interests.
politicians with special interests are biased regarding the matter of wanting those companies to leave
If someone is biased, then it is less likely that they have taken the evidence on both sides of the issue into account in arriving at wanting those companies to leave.
It is less likely that our politicians has taken the evidence on both sides of the issue into account.",What evidence is there that our politicians is have special interests? Could our politicians have taken evidence on many sides even if our politicians is have special interests?,"What is the speaker's basis for claiming that politicians are beholden to special interests? Is there any evidence to support this claim, or is it simply a assumptions?",yes,evidence
CLINTON_107_0,Argument from Verbal Classification,CLINTON_107_1,"
Generally, if people don't give their tax rate in their financial disclosure, then it can be the case that probably they are not enthusiatic about having the rest of the country know what the real reasons are.
Trump don't give their tax rate in their financial disclosure.
Therefore, Trump probably they are not enthusiatic about having the rest of the country know what the real reasons are.","Is there a proved relation between situations in which ""don't give their tax rate in their financial disclosure"" and situations in which ""probably they are not enthusiatic about having the rest of the country know what the real reasons are""?",Is there any logical connection between the premises and conclusion? (Does providing tax returns necessarily mean revealing conflicts and debts?),yes,relation
CLINTON_107_0,Argument from Verbal Classification,CLINTON_107_11,"
Generally, if people don't give their tax rate in their financial disclosure, then it can be the case that probably they are not enthusiatic about having the rest of the country know what the real reasons are.
Trump don't give their tax rate in their financial disclosure.
Therefore, Trump probably they are not enthusiatic about having the rest of the country know what the real reasons are.",Is it possible for the particular case of Trump that probably they are not enthusiatic about having the rest of the country know what the real reasons are is not the case?,"Is it fair to assume that someone who is unwilling to release their tax returns is hiding something, or are there other possible reasons for not doing so?",no,exception
TRUMP_112_1,Circumstantial Ad Hominem,TRUMP_112_7,"
Clinton advocates for her staff taking the Fifth Amendment, which implies her team was not completely legal.
Clinton is personally committed to the opposite of her team was not completely legal, as shown by the commitments expressed in their personal actions or personal circumstances expressing such commitments.
Clinton',s credibility as a sincere person who believes in their own argument has been put into question.
The plausibility of Clinton's argument is decreased or destroyed.",Does her staff taking the Fifth Amendment imply her team was not completely legal?,How does the fact that the man who set up the illegal server took the Fifth Amendment necessarily imply that the server was set up illegally?,yes,relation
TRUMP_112_2,Circumstantial Ad Hominem,TRUMP_112_7,"
Clinton advocates for the man that set up the illegal server taking the Fifth Amendment, which implies they did ilegal activities.
Clinton is personally committed to the opposite of they did ilegal activities, as shown by the commitments expressed in their personal actions or personal circumstances expressing such commitments.
Clinton',s credibility as a sincere person who believes in their own argument has been put into question.
The plausibility of Clinton's argument is decreased or destroyed.",Does the man that set up the illegal server taking the Fifth Amendment imply they did ilegal activities?,How does the fact that the man who set up the illegal server took the Fifth Amendment necessarily imply that the server was set up illegally?,yes,relation
TRUMP_112_2,Circumstantial Ad Hominem,TRUMP_112_2,"
Clinton advocates for the man that set up the illegal server taking the Fifth Amendment, which implies they did ilegal activities.
Clinton is personally committed to the opposite of they did ilegal activities, as shown by the commitments expressed in their personal actions or personal circumstances expressing such commitments.
Clinton',s credibility as a sincere person who believes in their own argument has been put into question.
The plausibility of Clinton's argument is decreased or destroyed.",Does the man that set up the illegal server taking the Fifth Amendment imply they did ilegal activities?,"Is there any concrete proof provided by Trump to back up his assertion that setting up an illegal server is equivalent to committing a serious offense, deserving of criminal charges? What implications does he draw from this alleged wrongdoing for both Clinton and her team members who invoked their constitutional right against self-incrimination?""",yes,relation
CLINTON_136_2,Argument from Bias,CLINTON_136_4,"
too many of us in our great country is <subejctx>.
biased are biased regarding the matter of jumping to conclusions about each other
If someone is biased, then it is less likely that they have taken the evidence on both sides of the issue into account in arriving at jumping to conclusions about each other.
It is less likely that too many of us in our great country has taken the evidence on both sides of the issue into account.",What evidence is there that too many of us in our great country is biased? Could too many of us in our great country have taken evidence on many sides even if too many of us in our great country is biased?,"What evidence is there that implicit bias is a problem for everyone, not just police?",yes,evidence
CLINTON_136_2,Argument from Bias,CLINTON_136_5,"
too many of us in our great country is <subejctx>.
biased are biased regarding the matter of jumping to conclusions about each other
If someone is biased, then it is less likely that they have taken the evidence on both sides of the issue into account in arriving at jumping to conclusions about each other.
It is less likely that too many of us in our great country has taken the evidence on both sides of the issue into account.",What evidence is there that too many of us in our great country is biased? Could too many of us in our great country have taken evidence on many sides even if too many of us in our great country is biased?,"What evidence is there to support the claim that implicit bias is a problem for everyone, not just police?",,evidence
CLINTON_136_2,Argument from Bias,CLINTON_136_6,"
too many of us in our great country is <subejctx>.
biased are biased regarding the matter of jumping to conclusions about each other
If someone is biased, then it is less likely that they have taken the evidence on both sides of the issue into account in arriving at jumping to conclusions about each other.
It is less likely that too many of us in our great country has taken the evidence on both sides of the issue into account.",What evidence is there that too many of us in our great country is biased? Could too many of us in our great country have taken evidence on many sides even if too many of us in our great country is biased?,How do we know that too many of us in our great country jump to conclusions about each other?,,evidence
TRUMP_129_2_1,Argument from Consequences,TRUMP_129_2_12,"
If USA inner cities need law and order, then African-American and Hispanic people would suffer less injustices may plausibly occur.
African-American and Hispanic people would suffer less injustices has a positive consequence.
USA inner cities need law and order should  occur.",What other consequences should also be taken into account if  USA inner cities need law and order?,What are the potential unintended consequences of Trump's proposed policies for law and order in inner cities?,,consequences
