arg_id,scheme,llm_cq_id,premises,llm_cq,can an answer to this question diminish the acceptability of the argument?,reading-comprehension cues,my taxonomy,burden-of-proof,explanation,BOOK TYPE,"(1) premise: premise acceptability
(2) link: acceptability of the link, relative to some given standard of evidence
(3) other considerations: whether there are other relevant considerations which would count against the claim at issue
(4) specific: directed specifically towards features of particular relevance to individual argumentation scheme"
TRUMP_15_1,Argument from Bias,TRUMP_15_2,"
our politicians have special interests.
politicians with special interests are biased regarding the matter of not taxing the companies coming to the US
If someone is biased, then it is less likely that they have taken the evidence on both sides of the issue into account in arriving at not taxing the companies coming to the US.
It is less likely that our politicians has taken the evidence on both sides of the issue into account.","How does the speaker define ""special interests""? Who are these individuals or groups, and what is their motivation for wanting companies to leave?",yes,,definition,,,,
TRUMP_15_1,Argument from Bias,TRUMP_15_5,"
our politicians have special interests.
politicians with special interests are biased regarding the matter of not taxing the companies coming to the US
If someone is biased, then it is less likely that they have taken the evidence on both sides of the issue into account in arriving at not taxing the companies coming to the US.
It is less likely that our politicians has taken the evidence on both sides of the issue into account.","What special interests are being referred to, and how do they own the companies?",no,,definition,,,,
TRUMP_15_2,Argument from Bias,TRUMP_15_2,"
our politicians have special interests.
politicians with special interests are biased regarding the matter of wanting those companies to leave
If someone is biased, then it is less likely that they have taken the evidence on both sides of the issue into account in arriving at wanting those companies to leave.
It is less likely that our politicians has taken the evidence on both sides of the issue into account.","How does the speaker define ""special interests""? Who are these individuals or groups, and what is their motivation for wanting companies to leave?",yes,,definition,,"if the politicians do not have special intrests, or the motivation can't be defined the argument does not hold -> YES",,
TRUMP_15_2,Argument from Bias,TRUMP_15_5,"
our politicians have special interests.
politicians with special interests are biased regarding the matter of not taxing the companies coming to the US
If someone is biased, then it is less likely that they have taken the evidence on both sides of the issue into account in arriving at not taxing the companies coming to the US.
It is less likely that our politicians has taken the evidence on both sides of the issue into account.","What special interests are being referred to, and how do they own the companies?",yes,,definition,,"if the politicians do not have special intrests, or the motivation can't be defined the argument does not hold -> YES",,
TRUMP_15_3,Argument from Bias,TRUMP_15_2,"
our politicians own the companies.
politicians that own the companies are biased regarding the matter of wanting those companies to leave
If someone is biased, then it is less likely that they have taken the evidence on both sides of the issue into account in arriving at wanting the companies to leave.
It is less likely that our politicians have taken the evidence on both sides of the issue into account.","How does the speaker define ""special interests""? Who are these individuals or groups, and what is their motivation for wanting companies to leave?",yes,,definition,,,,
TRUMP_15_3,Argument from Bias,TRUMP_15_5,"
our politicians own the companies.
politicians that own the companies are biased regarding the matter of wanting those companies to leave
If someone is biased, then it is less likely that they have taken the evidence on both sides of the issue into account in arriving at wanting the companies to leave.
It is less likely that our politicians have taken the evidence on both sides of the issue into account.","What special interests are being referred to, and how do they own the companies?",yes,,definition,,"if the politicians do not have special intrests, or the motivation can't be defined the argument does not hold -> YES",,
TRUMP_99_1,Argument from Verbal Classification,TRUMP_99_0,"
Generally, if a person gets audited all the time, then it can be the case that it becomes a way of life.
Trump gets audited all the time.
Therefore, for Trump it became a way of life.","What is the significance of the speaker's statement that they have been audited ""almost every year""?",yes,,relation,,"if the politicians do not have special intrests, or the motivation can't be defined the argument does not hold -> YES",link,
TRUMP_99_2,Argument from Example,TRUMP_99_0,"
In this particular case, Trump is wealthy and also has been audited a lot.
Therefore, other people that is wealthy, might also has been audited a lot.","What is the significance of the speaker's statement that they have been audited ""almost every year""?",no,,relation,,,,
TRUMP_99_3,Argument from Example,TRUMP_99_0,"
In this particular case, Trump gets audited every year and also should be complaining.
Therefore, other person that gets audited every year, might also should be complaining.","What is the significance of the speaker's statement that they have been audited ""almost every year""?",no,,relation,,NO,link,
TRUMP_99_4,Argument from Alternatives,TRUMP_99_2,"
Either Clinton releases the 33,000 e-mails she deleted or Trump does not show his tax returns going against his lawyers advice.
Clinton releases the 33,000 e-mails she deleted is plausibly not the case.
Trump does not show his tax returns going against his lawyers advice, is plausably the case.",What is the legal advice that the speaker's lawyers have given them regarding the release of their tax returns?,no,,source,,NO,,here there is a position to know argument which has not been annotated
TRUMP_99_4,Argument from Alternatives,TRUMP_99_1,"
Either Clinton releases the 33,000 e-mails she deleted or Trump does not show his tax returns going against his lawyers advice.
Clinton releases the 33,000 e-mails she deleted is plausibly not the case.
Trump does not show his tax returns going against his lawyers advice, is plausably the case.",What is the connection between the speaker's tax returns and the deleted emails?,yes,,relation,,"if there is no connection between releasing the emails and tax returns, then the argument does not hold --> YES",link,
CLINTON_107_0,Argument from Verbal Classification,CLINTON_107_0,"
Generally, if people don't give their tax rate in their financial disclosure, then it can be the case that probably they are not enthusiatic about having the rest of the country know what the real reasons are.
Trump don't give their tax rate in their financial disclosure.
Therefore, Trump probably is not enthusiatic about having the rest of the country know what the real reasons are.",What specific information about Trump's finances are missing from his financial disclosure statements?,no,,definition,,NO,,
