NAME,PREMISES,CQ,MY taxonomy,BOOK taxonomy,Burden of proof taxonomy,"(1) premise: premise acceptability
(2) link: acceptability of the link, relative to some given standard of evidence
(3) other considerations: whether there are other relevant considerations which would count against the claim at issue
(4) specific: directed specifically towards features of particular relevance to individual argumentation scheme","Walton, 2005 citing Pinto, Blaiur, Parr 1993"
Sign,"<eventA> is true in this situation.
<eventA> is often a sign of situations in which <eventB> is true.
<eventB> might be true in this situation.",Is there a proved relation between '<eventB>' and '<eventA>'?,relation,premise,arguer,"(1) burden-of-proof to questioner
(2) burden-of-proof to arguer
(3) no burden-of-proof",
Sign,"<eventA> is true in this situation.
<eventA> is often a sign of situations in which <eventB> is true.
<eventB> might be true in this situation.",Are there any events other than <eventB> that would more reliably account for <eventA>?,alternative,other considerations,questioner,,
Example,"In this particular case, <subjecta> <featF> and also <featG>.
Therefore, other <subjectx> that <featF>, might also <featG>.",Is it actually the case that <subjecta> <featF> <featG>? Is there evidence on this claim?,evidence,premise & link,arguer,,
Example,"In this particular case, <subjecta> <featF> and also <featG>.
Therefore, other <subjectx> that <featF>, might also <featG>.",Is <subjecta> actually a typical case of other <subjectx> that <featF>? How widely applicable is the generalisation?,relation,link,arguer,,
Example,"In this particular case, <subjecta> <featF> and also <featG>.
Therefore, other <subjectx> that <featF>, might also <featG>.",Are there special circumstances pertaining to <subjecta> that undermine its generalisability to other <subjectx> that <featF>?,exception,other considerations,questioner,,
VerbalClassification,"Generally, if <subjectx> <featF>, then it can be the case that <featG>.
<subjecta> <featF>.
Therefore, <subjecta> <featG>.","Is it the case that <subjecta> <featF>, or is there room for doubt?",evidence,premise,questioner,,
VerbalClassification,"Generally, if <subjectx> <featF>, then it can be the case that <featG>.
<subjecta> <featF>.
Therefore, <subjecta> <featG>.","Is there a proved relation between situations in which ""<featF>"" and situations in which ""<featG>""?",relation,link,arguer,,
VerbalClassification,"Generally, if <subjectx> <featF>, then it can be the case that <featG>.
<subjecta> <featF>.
Therefore, <subjecta> <featG>.",Is it possible for the particular case of <subjecta> that <featG> is not the case?,exception,other considerations,questioner,,
PositionToKnow,"<subjecta> is in a position to know whether it is the case that <eventA>.
<subjecta> asserts that it is the case that <eventA>.
<eventA> is the case.",Is <subjecta> in a position to know whether <eventA>?,source,premise,questioner,,
PositionToKnow,"<subjecta> is in a position to know whether it is the case that <eventA>.
<subjecta> asserts that it is the case that <eventA>.
<eventA> is the case.","Is <subjecta> an honest (trustworthy, reliable) source?",source,specific,,,
PositionToKnow,"<subjecta> is in a position to know whether it is the case that <eventA>.
<subjecta> asserts that it is the case that <eventA>.
<eventA> is the case.",Did <subjecta> assert that <eventA>?,evidence,premise,,,
ExpertOpinion,"<expertE> is an expert in domain <domainD>.
<expertE> asserts that <eventA> is known to be true.
<eventA> is within <domainD>.
<eventA> may plausibly be taken to be true.",Is <expertE> a genuine expert in <domainD>?,source,specific,,,
ExpertOpinion,"<expertE> is an expert in domain <domainD>.
<expertE> asserts that <eventA> is known to be true.
<eventA> is within <domainD>.
<eventA> may plausibly be taken to be true.",Did <expertE> really assert that <eventA>?,evidence,premise,,,
ExpertOpinion,"<expertE> is an expert in domain <domainD>.
<expertE> asserts that <eventA> is known to be true.
<eventA> is within <domainD>.
<eventA> may plausibly be taken to be true.","Is <expertE>'s pronouncement directly quoted? If not, is a reference to the original source given? Can it be checked?",evidence,specific,no,,
ExpertOpinion,"<expertE> is an expert in domain <domainD>.
<expertE> asserts that <eventA> is known to be true.
<eventA> is within <domainD>.
<eventA> may plausibly be taken to be true.","If <expertE>'s advice is not quoted, does it look like important information or qualifications may have been left out?",-,specific,no,,
